Parcours_Utilisateur	Parents	Nom	Min	Moy	Max	Nombre	Errreurs	Taux_d_erreurs	Elt/s	EcartType	Moy-90%	Perc50	Perc95	Perc99
/	/	[all transactions]	0.004	1.5373767829056704	41.55	1707718	1234	0.0722601741036869	474.36611111111114	4.21946009708005	0.7859030950590395	0.149	13.2005	20.876
SC04_PRO_PaiementFactureTvaAbonné	Actions	PM04_000_Duree_Transaction	12.14	13.476692591133215	28.577	94258	357	0.3787476925035541	26.182777777777776	1.1071932612683026	13.309682818601349	13.2005	15.782	18.618
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_000a_CfsPro	0.017	0.040329713857171524	2.029	94673	0	0.0	26.298055555555557	0.11289421290835194	0.026302513907471306	0.026	0.035	1.0235
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_000b_Connexion	0.426	0.5584042246810313	15.52	94654	209	0.22080419211021196	26.29277777777778	0.31926375903688864	0.5152625647058824	0.513	0.585	1.904
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_001a_AffichageChoixOcfi	0.063	0.0879314470869777	0.614	94438	0	0.0	26.232777777777777	0.017016742788304718	0.08582935466792165	0.086	0.103	0.15
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_001b_AffichageFactureTva	0.729	1.3295240097882393	7.367	94399	0	0.0	26.221944444444443	0.38060373364544237	1.286077607109228	1.2515	1.883	2.999
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_002_AffichageMontantFacture	0.191	0.398288029184695	6.219	94324	28	0.029684915822060134	26.20111111111111	0.2903905780850588	0.3560026747734691	0.328	0.785	1.562
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_003_RécapitulatifDuPaiement	0.198	0.41938440212022393	6.424	94220	79	0.08384631713012099	26.17222222222222	0.298407436433554	0.3758705238061516	0.347	0.816	1.646
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_004_Récapitulatif_du_paiement	0.011	0.054306705495977124	5.032	94087	0	0.0	26.135277777777777	0.20225351053977814	0.03184853208625617	0.029	0.088	0.429
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_005_ConfirmationPaiement	0.242	0.4701086415287058	6.743	94008	20	0.02127478512467024	26.113333333333333	0.3165067445737051	0.424074465947109	0.395	0.872	1.802
SC04_PRO_PaiementFactureTvaAbonné	PM04_000_Duree_Transaction	PM04_006_téléchargement_PDF	0.048	0.11515931672719142	3.55	93922	21	0.02235897872702881	26.089444444444446	0.18208835086182829	0.09272594959176429	0.087	0.215	0.548
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	Actions	PM05_000_DuréeTransation	14.966	15.68738886387513	20.506	6667	4	0.0599970001499925	1.8519444444444444	0.3891450770721133	15.651580637091394	15.627	16.3185	17.2765
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_000b_CfsPart	0.07	0.10063324380781856	1.596	6702	0	0.0	1.8616666666666666	0.06943804375915473	0.09586320676504725	0.095	0.114	0.128
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_001_AffichageAccueilGp	0.063	0.11898925052254404	2.479	6698	0	0.0	1.8605555555555555	0.09873060953583776	0.10477740918892021	0.098	0.221	0.516
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_002_AffichagePageMenu	0.289	0.5281316497310221	1.929	6692	0	0.0	1.8588888888888888	0.14346168529667527	0.5111643699153245	0.497	0.845	1.0495
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_003_SaisieNuméroAvis	0.045	0.09830880813518768	1.621	6687	0	0.0	1.8575	0.0831232238308234	0.08513991359255567	0.079	0.194	0.465
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_004_affichage_données paiement	0.13	0.2447752321054208	2.676	6682	4	0.059862316671655195	1.856111111111111	0.12401526974934438	0.2269352853102645	0.217	0.435	0.69
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_005_affichage_validation	0.079	0.16681489808153477	1.345	6672	0	0.0	1.8533333333333333	0.09281341117727178	0.15262597835137384	0.147	0.279	0.571
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_006_affichage_confirmation	0.115	0.2390241451709658	1.671	6668	0	0.0	1.8522222222222222	0.10156936660383172	0.22507782036327278	0.219	0.359	0.67
SC05_PRO_PaiementImpôtSurRôleAccèsGrandPublic	PM05_000_DuréeTransation	PM05_007_page_menu	0.097	0.1884888188503677	2.291	6663	0	0.0	1.8508333333333333	0.09890579429067577	0.1742393262174783	0.166	0.342	0.573
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	Actions	PM07_000_DuréeTransaction	20.513	20.937112664473684	23.319	3648	0	0.0	1.0133333333333334	0.24505728164817858	20.91555482790131	20.876	21.3345	21.803
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_001_AffichageAccueilGp	0.058	0.10781590413943355	2.372	3672	0	0.0	1.02	0.09352068445024532	0.0948232980332829	0.088	0.205	0.46
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_002_AffichagePageMenu	0.046	0.09749700435729848	1.543	3672	0	0.0	1.02	0.06837281771663468	0.08633948562783661	0.083	0.16	0.451
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_003_SaisieRéférenceAvis	0.021	0.042457072771872446	0.742	3669	0	0.0	1.0191666666666668	0.04171646547927217	0.0361129618413083	0.035	0.059	0.295
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_004_AffichageModalitéPrélèvement	0.035	0.07460671397379913	1.116	3664	0	0.0	1.0177777777777777	0.058386499669914785	0.06549287230815894	0.063	0.107	0.384
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_006_AffichageEchéancier	0.064	0.1301	2.209	3660	0	0.0	1.0166666666666666	0.07433314008301727	0.11964704097116843	0.117	0.191	0.49
SC07_PART_AdhésionAuPrélèvementMensuelAccèsGrandPublic	PM07_000_DuréeTransaction	PM07_007_PageCoordonnéesBancaires	0.034	0.08089480874316939	1.143	3660	0	0.0	1.0166666666666666	0.05817601060803991	0.07210288315629743	0.07	0.115	0.403
